name,category,style,abv,ibu,srm
Delirium Nocturnum,Belgian and French Ale,Belgian-Style Dark Strong Ale,9.0,0.0,0.0
Delirium NoÃ«l,Belgian and French Ale,Other Belgian-Style Ales,10.0,0.0,0.0
Dells Chief Amber Ale,North American Ale,American-Style Amber/Red Ale,4.5,0.0,0.0
Deluxe Cream Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Demolition,North American Lager,American-Style Lager,8.0,0.0,0.0
Dempsey Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Denver Pale Ale / DPA,North American Ale,American-Style Pale Ale,5.400000095367432,0.0,0.0
Depot Pils,North American Lager,American-Style Lager,0.0,0.0,0.0
Der Weisse Bock,German Ale,South German-Style Weizenbock,8.5,0.0,0.0
Derailed Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Desert Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Desperado Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Detonator Doppelbock,German Lager,Traditional German-Style Bock,8.0,0.0,0.0
Ding Ding Double IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Discombobulator Maibock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Dixie Crystal,Belgian and French Ale,Belgian-Style Tripel,10.0,0.0,0.0
Doc's Hard Apple Cider,Other Style,Fruit Beer,4.5,0.0,0.0
Doc's Pale Ale,North American Ale,American-Style Pale Ale,5.5,0.0,0.0
Doggie Style Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Dogma,Other Style,Herb and Spice Beer,7.800000190734863,0.0,0.0
Dominion Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Don De Dieu,Belgian and French Ale,Belgian-Style Tripel,9.0,0.0,0.0
Door County Cherry Wheat,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Doppel Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Doppel-Hirsch Bavarian-Doppelbock,German Lager,Traditional German-Style Bock,7.199999809265137,0.0,0.0
DoppelSticke,German Lager,Traditional German-Style Bock,8.5,0.0,0.0
Doppelbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Doppelbock (discontinued),German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Doppelbock Dunkel,German Lager,Traditional German-Style Bock,7.0,0.0,0.0
Dorado Double IPA,North American Ale,Imperial or Double India Pale Ale,9.600000381469727,0.0,0.0
Dort,German Lager,Traditional German-Style Bock,6.5,0.0,0.0
Dos Equis Amber Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Dos Equis Special Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Dos Rios Vienna Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Double Barrel Ale,North American Ale,American-Style Amber/Red Ale,5.0,0.0,0.0
Double Bastard Ale,North American Ale,American-Style Pale Ale,10.0,0.0,0.0
Double Black Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Double Chocolate Porter,Irish Ale,Porter,0.0,0.0,0.0
Double Chocolate Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Double Cream Oatmeal Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Double Daddy,North American Ale,American-Style Pale Ale,9.5,0.0,0.0
Double Dead Guy Ale,German Lager,German-Style Doppelbock,9.0,0.0,0.0
Double Eagle Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Double Eagle Golden Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Double Gueuze (discontinued),Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Double IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Double Ice Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Double India Pale Ale,North American Ale,American-Style Pale Ale,8.600000381469727,0.0,0.0
Double Mountain Altbier,German Ale,German-Style Brown Ale/Altbier,5.599999904632568,0.0,0.0
Double Paw,North American Ale,Imperial or Double India Pale Ale,8.5,0.0,0.0
Double Pilsner,North American Lager,American-Style Lager,8.100000381469727,0.0,0.0
Double Trouble Imperial IPA,North American Ale,Imperial or Double India Pale Ale,9.399999618530273,0.0,0.0
Double ZZ Raspberry Wheat,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Doubledecker Doppelbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Dousman Street Wheat,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Downtown After Dark,North American Ale,American-Style Brown Ale,12.0,0.0,0.0
Downtown Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Downtown Lites Honey Ale,North American Lager,American-Style Lager,0.0,0.0,0.0
Dr. Hops Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Draft,North American Lager,American-Style Lager,0.0,0.0,0.0
Dragon Stout,North American Ale,American-Style Stout,7.5,0.0,0.0
Dragonhead Stout,North American Ale,American-Style Stout,4.0,0.0,0.0
Dreadnaught Imperial IPA,North American Ale,Imperial or Double India Pale Ale,9.5,0.0,0.0
Dreher Classic,German Lager,German-Style Pilsener,5.0,0.0,0.0
Drie Fonteinen Kriek,Belgian and French Ale,Belgian-Style Fruit Lambic,5.0,0.0,0.0
Driftwood Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Drunk Monk Hefeweizen,German Ale,South German-Style Hefeweizen,4.800000190734863,0.0,0.0
Dry Heat Hefeweizen,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Dry Hopped IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Dry Hopped St. Rogue Red Ale,North American Ale,American-Style Amber/Red Ale,5.099999904632568,0.0,0.0
Dry Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Dry-Hopped APA,North American Ale,American-Style Pale Ale,5.900000095367432,50.0,10.600000381469727
Dubble Fantasy,Belgian and French Ale,Other Belgian-Style Ales,5.0,0.0,0.0
Dublin Dunkelweizenbock,German Ale,South German-Style Weizenbock,0.0,0.0,0.0
Dublin Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Duchy Originals Organic English Ale,British Ale,Extra Special Bitter,5.0,0.0,0.0
Duck-Rabbit Amber Ale,North American Ale,American-Style Amber/Red Ale,5.5,0.0,0.0
Duck-Rabbit Brown Ale,North American Ale,American-Style Brown Ale,5.599999904632568,0.0,0.0
Duck-Rabbit Milk Stout,British Ale,Sweet Stout,5.699999809265137,0.0,0.0
Duck-Rabbit Schwarzbier,German Lager,German-Style Schwarzbier,5.800000190734863,0.0,0.0
Duckstein Alt,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Duet,North American Ale,American-Style India Pale Ale,7.0,0.0,0.0
Duggie Meyer Wee Heavy,British Ale,Scotch Ale,7.0,0.0,0.0
Duke IPA,North American Ale,American-Style India Pale Ale,5.099999904632568,0.0,0.0
Duke of Wellington IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Dundee Porter,Irish Ale,Porter,0.0,0.0,0.0
Dundee Stout,North American Ale,American-Style Stout,5.800000190734863,0.0,0.0
Dunkel Doppel Weizen Bock,German Ale,South German-Style Weizenbock,0.0,0.0,0.0
Dusseldorf-Style Altbier,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Dusseldorfer Doppelbock,German Lager,Traditional German-Style Bock,6.0,0.0,0.0
Duvel,Belgian and French Ale,Other Belgian-Style Ales,8.5,0.0,0.0
Duveneck's Dortmunder,North American Lager,American-Style Lager,4.5,0.0,0.0
EKU 28,German Lager,Traditional German-Style Bock,11.0,0.0,0.0
EOS Hefeweizen,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
ESB,British Ale,Extra Special Bitter,0.0,0.0,0.0
Eager Beaver IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Eagle Lake Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Earth - Belgian Style Chocolate Milk Stout,British Ale,Sweet Stout,5.0,0.0,0.0
East Bay Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
East India IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
East India Pale Ale,North American Ale,American-Style India Pale Ale,6.800000190734863,0.0,0.0
East India Pale Ale,North American Ale,American-Style Pale Ale,4.0,0.0,0.0
East Kent IPA,North American Ale,American-Style India Pale Ale,6.599999904632568,0.0,0.0
Ebelweiss,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Eccentric Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Edelweiss,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Edelweiss HefetrÃ¼b,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Edison Light Beer,North American Lager,American-Style Lager,0.0,0.0,0.0
Edmund Fitzgerald Porter,Irish Ale,Porter,5.800000190734863,0.0,0.0
Eganator Doppelbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Ehu Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Eigenberg Smoked Porter,North American Lager,American-Style Lager,0.0,0.0,0.0
Eine Bamberger Weisse Hell,German Ale,South German-Style Hefeweizen,5.199999809265137,0.0,0.0
Eisbock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Eisenbahn Escura,German Lager,German-Style Schwarzbier,0.0,0.0,0.0
Eisenbahn South American Pale Ale (S.A.P.A.),North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Eisenbahn Weizenbock,German Ale,South German-Style Weizenbock,8.0,0.0,0.0
El Jefe Weizen Ale,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
El NiÃ±o IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
El NiÃ±o Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
El Rey Cerveza,North American Lager,American-Style Lager,0.0,0.0,0.0
El Toro Negro Oatmeal Stout,British Ale,Oatmeal Stout,0.0,0.0,0.0
Eldridge Grade White Knuckle Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Elephant,German Lager,Traditional German-Style Bock,7.199999809265137,0.0,0.0
Elk Creek Copper Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Elm City Schwarzbier,German Lager,German-Style Schwarzbier,5.300000190734863,0.0,0.0
Elysian Fields Pale Ale,North American Ale,American-Style Pale Ale,4.800000190734863,0.0,0.0
Emancipator,German Lager,Traditional German-Style Bock,8.300000190734863,0.0,0.0
Empire Builder Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Empire India Pale Ale,British Ale,English-Style India Pale Ale,7.5,0.0,0.0
Empyrean Oktoberfest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Endless Summer Cream Ale,North American Lager,American-Style Lager,0.0,0.0,0.0
Engine 5,North American Ale,American-Style Amber/Red Ale,5.0,0.0,0.0
English Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
English Bay Pale Ale,North American Ale,American-Style Pale Ale,5.0,0.0,0.0
English Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
English Brown Ale (discontinued),North American Ale,American-Style Brown Ale,0.0,0.0,0.0
English Mild,British Ale,English-Style Pale Mild Ale,0.0,0.0,0.0
Entire Butt English Porter,Irish Ale,Porter,0.0,0.0,0.0
Entire Stout,North American Ale,American-Style Stout,4.5,0.0,0.0
Epic Pale Ale,North American Ale,American-Style Pale Ale,5.400000095367432,0.0,0.0
Epiphany Ale,North American Ale,American-Style Amber/Red Ale,5.5,0.0,0.0
Eric the Red,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Erik the Red,North American Ale,American-Style Amber/Red Ale,5.0,0.0,0.0
Esker Alt,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Espresso Oak Aged Yeti,North American Ale,American-Style Imperial Stout,9.5,0.0,0.0
Espresso Stout (discontinued),North American Ale,American-Style Stout,0.0,0.0,0.0
Esser's Best,North American Lager,American-Style Lager,0.0,0.0,0.0
Esser's Cross Plains Special,German Lager,German-Style Pilsener,0.0,0.0,0.0
Estrella Damm,North American Lager,American-Style Lager,4.599999904632568,0.0,0.0
Estrella Levante Clasica,Other Lager,Baltic-Style Porter,4.800000190734863,0.0,0.0
Estrella Levante Especial,Other Lager,Baltic-Style Porter,5.400000095367432,0.0,0.0
Estrella Levante Sin 0.0% Alcohol,Other Lager,Baltic-Style Porter,1.0,0.0,0.0
Evolutionary IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Exit 11 - Hoppy American Wheat,Other Style,Light American Wheat Ale or Lager,6.199999809265137,0.0,0.0
Exit 16 - Wild Rice Double IPA,North American Ale,Imperial or Double India Pale Ale,8.199999809265137,0.0,0.0
Expedition Stout,North American Ale,American-Style Imperial Stout,10.5,0.0,0.0
Export Ale,North American Ale,American-Style Pale Ale,5.099999904632568,0.0,0.0
Extra Pale Ale,North American Ale,American-Style Pale Ale,5.400000095367432,0.0,0.0
Extra Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Eye of the Hawk,British Ale,Old Ale,8.0,0.0,0.0
Falcon Lagrad Gammelbrygd,British Ale,Old Ale,5.599999904632568,0.0,0.0
Falcon Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Fall Fest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Fall Festivus Ale,North American Ale,American-Style Amber/Red Ale,4.800000190734863,0.0,0.0
Fallen Angel,Belgian and French Ale,Belgian-Style Pale Strong Ale,8.0,0.0,0.0
Fallen Angel Sweet Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Faller Wheat,North American Lager,American-Style Lager,0.0,0.0,0.0
Famous Porter,Irish Ale,Porter,0.0,0.0,0.0
Fat Belly Amber,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Fat City Ale,North American Ale,Golden or Blonde Ale,4.5,0.0,0.0
Fat Dog Stout,British Ale,Oatmeal Stout,9.0,0.0,0.0
Fauerbach Export,North American Lager,American-Style Lager,0.0,0.0,0.0
Fauntleroy Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Featherweight Lager,North American Lager,American-Style Lager,4.099999904632568,0.0,0.0
Fegley's Amber Lager,North American Ale,American-Style Amber/Red Ale,5.199999809265137,0.0,0.0
Fenway American Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Fest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Festbier,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Festive Ale 2000,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Feuerwehrmann Schwarzbier,German Lager,German-Style Schwarzbier,5.0,0.0,0.0
Fighting Finches Bock,German Lager,German-Style Heller Bock/Maibock,0.0,0.0,0.0
Final Absolution,Belgian and French Ale,Other Belgian-Style Ales,8.5,0.0,0.0
Fire Rock Pale Ale,North American Ale,American-Style Pale Ale,5.800000190734863,0.0,0.0
Firehouse Red,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Firehouse Red,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Fireman's Pail Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Fireside Nut Brown,North American Ale,American-Style Brown Ale,4.900000095367432,0.0,0.0
Firestole Pale 31,North American Ale,American-Style Pale Ale,4.599999904632568,0.0,0.0
Firewater Indian Pale Ale,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Firkin IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
First Flight Amber Ale,North American Ale,American-Style Amber/Red Ale,4.5,0.0,0.0
Five Springs Oatmeal Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Flag Porter 1825 Original,Irish Ale,Porter,0.0,0.0,0.0
Flagship Red Alt Ale,North American Ale,American-Style Amber/Red Ale,5.199999809265137,0.0,0.0
Flat Belly American Wheat,North American Lager,American-Style Lager,3.5999999046325684,0.0,0.0
Flat Earth Belgian-style Pale Ale,Belgian and French Ale,Belgian-Style Pale Ale,5.199999809265137,0.0,0.0
Fleishhacker Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Flensburger Pilsner,German Lager,German-Style Pilsener,4.800000190734863,0.0,0.0
Flo IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Flower Power India Pale Ale,North American Ale,American-Style India Pale Ale,8.0,0.0,0.0
Fly Fisher Red,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Flying Aces Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Flying Armadillo Porter,Irish Ale,Porter,0.0,0.0,0.0
Flying Horse Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Flying Horse Royal Lager Beer,North American Lager,American-Style Lager,0.0,0.0,0.0
Flying Mouflan,North American Ale,American-Style Barley Wine Ale,9.300000190734863,0.0,0.0
Fomharfest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Fort,Other Style,Fruit Beer,18.0,0.0,0.0
Forty-Niner Gold Lager,North American Lager,American-Style Lager,4.5,0.0,0.0
Foster Child Australian Lager,North American Lager,American-Style Lager,4.0,0.0,0.0
Foster's Premium Ale,British Ale,Classic English-Style Pale Ale,5.5,0.0,0.0
Foster's Special Bitter,British Ale,Ordinary Bitter,5.5,0.0,0.0
Founders Kentucky Breakfast,North American Ale,American-Style Imperial Stout,10.0,0.0,0.0
Founders Light,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Founders Red's Rye,Other Style,American Rye Ale or Lager,6.400000095367432,0.0,0.0
Four Alarm Alt,North American Ale,American-Style Brown Ale,4.800000190734863,0.0,0.0
Four Brothers Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Four Horsemen Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Four Sheets Cream Ale,North American Lager,American-Style Lager,0.0,0.0,0.0
Fox Light,North American Lager,American-Style Lager,0.0,0.0,0.0
Fox Tail Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Foxtoberfest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Foxy Brown,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Framboise,Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Framboise,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Framboise 1997,Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Frambosia,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Frambozen,Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Framingham Maibock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Frank Double IPA,North American Ale,American-Style India Pale Ale,8.5,0.0,0.0
Franziskaner Hefe-Weissbier Hell  / Franziskaner Club-Weiss,German Ale,South German-Style Hefeweizen,5.0,0.0,0.0
Free Bike Amber,North American Ale,American-Style Amber/Red Ale,4.5,0.0,0.0
Freys Weizen,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Friar's Porter,Irish Ale,Porter,0.0,0.0,0.0
Friars IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Frolic Shipwreck 1850 Ale,British Ale,Old Ale,0.0,0.0,0.0
Frostbite,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Frosty Frog,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Frosty Frog,Other Style,Winter Warmer,9.0,0.0,0.0
Frozen Tundra,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
FrÃ¼hlingzeit Maibock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Fuerte,North American Lager,American-Style Lager,0.0,0.0,0.0
Fuggles IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Full Boar,Other Style,Out of Category,0.0,0.0,0.0
Full Moon Winter Ale,Belgian and French Ale,Other Belgian-Style Ales,5.599999904632568,0.0,0.0
Full Tilt IPA,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Fuller's ESB,British Ale,Extra Special Bitter,4.5,0.0,0.0
Fur Rondy,Other Style,Winter Warmer,6.0,0.0,0.0
G.E. Lite,North American Lager,American-Style Lager,0.0,0.0,0.0
GABF 25th Year Beer,British Ale,Extra Special Bitter,0.0,0.0,0.0
Gale Force IPA,North American Ale,American-Style India Pale Ale,5.599999904632568,0.0,0.0
Garten BrÃ¤u Fest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
General Pippo's Porter,Irish Ale,Porter,5.5,0.0,0.0
Genesee Cream Ale,North American Lager,American-Style Lager,5.199999809265137,0.0,0.0
Genesis,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Genuine Irish Stout,North American Ale,American-Style Stout,4.099999904632568,0.0,0.0
Geordie Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Georgi-Belgique,Belgian and French Ale,Other Belgian-Style Ales,6.400000095367432,0.0,0.0
Georgia Brown,North American Ale,American-Style Brown Ale,5.099999904632568,0.0,0.0
German Premium Dark,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
German Valley Amber,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Glacier Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Glacier Harvest '09 Wet Hop (100 Barrel Series #28),North American Ale,American-Style Pale Ale,6.699999809265137,0.0,0.0
Glockenspiel,German Ale,South German-Style Weizenbock,8.0,0.0,0.0
Gluhkriek,Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Gnaw Bone Pale Ale,North American Ale,American-Style Pale Ale,5.5,0.0,0.0
Goat Toppler Mai Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Gold Ale,North American Ale,American-Style Pale Ale,4.900000095367432,0.0,0.0
Gold Nectar,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Gold Rush,North American Ale,American-Style Pale Ale,4.5,0.0,0.0
Gold Rush Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Golden,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Golden,North American Lager,American-Style Lager,0.0,0.0,0.0
Golden Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Golden Bear Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Golden Gate Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Golden Gate Copper Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Golden Harvest Weizenbier,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Golden Hawk Wheat Beer,North American Lager,American-Style Lager,0.0,0.0,0.0
Golden Honey Wheat,North American Lager,American-Style Lager,0.0,0.0,0.0
Golden Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Golden Light,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Golden Light,North American Lager,American-Style Light Lager,0.0,0.0,0.0
Golden Wheat,North American Lager,American-Style Lager,0.0,0.0,0.0
Golden Wheat Light,North American Lager,American-Style Lager,0.0,0.0,0.0
Goldenshine,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Good Life Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Goose Island Imperial IPA,North American Ale,Imperial or Double India Pale Ale,9.0,0.0,0.0
Goose Island Midway IPA,North American Ale,American-Style India Pale Ale,6.800000190734863,0.0,0.0
Goosinator Smoked Doppelbock 2007,North American Lager,American-Style Lager,0.0,0.0,0.0
Gordon Biersch Czech Lager,German Lager,German-Style Pilsener,5.599999904632568,0.0,0.0
Gordon Biersch Hefeweizen,German Ale,South German-Style Hefeweizen,5.5,0.0,0.0
Gordon Biersch Schwarzbier,German Lager,German-Style Schwarzbier,4.300000190734863,0.0,0.0
Gran Met,Belgian and French Ale,Belgian-Style Pale Strong Ale,10.5,0.0,0.0
Grand Marais Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Grasshopper,Other Style,Light American Wheat Ale or Lager,0.0,0.0,0.0
Grateful Red,North American Ale,American-Style Amber/Red Ale,5.0,0.0,0.0
Gray Whale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Great Lakes Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Great Northern Porter,Irish Ale,Porter,5.599999904632568,0.0,0.0
Green Beer,North American Lager,American-Style Lager,0.0,0.0,0.0
Green Flash Imperial India Pale Ale,North American Ale,Imperial or Double India Pale Ale,9.0,0.0,0.0
Green Monsta Ale,North American Ale,American-Style Strong Pale Ale,7.300000190734863,0.0,0.0
Green Valley Stone Mill Pale Ale,North American Ale,American-Style Pale Ale,5.5,0.0,0.0
Green Valley Wild Hop Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Greensburg Lager,North American Lager,American-Style Lager,0.0,0.0,0.0
Greenshields Pale Ale,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Grid Iron Amber Ale,North American Ale,American-Style Amber/Red Ale,5.599999904632568,0.0,0.0
Griffon Brown Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Grist Mill Golden,North American Ale,American-Style Pale Ale,0.0,0.0,0.0
Gritstone Premium Ale,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Grolsch Amber Ale,German Ale,German-Style Brown Ale/Altbier,5.300000190734863,0.0,0.0
Grolsch Dunkel Weizen,Other Style,Light American Wheat Ale or Lager,5.5,0.0,0.0
Grolsch Pilsner Speciale,German Lager,German-Style Pilsener,5.5,0.0,0.0
Grolsch Premium Pilsner,German Lager,German-Style Pilsener,5.0,0.0,0.0
Groovy Beer,North American Ale,American-Style Brown Ale,0.0,0.0,0.0
Grotten Flemish Ale,Belgian and French Ale,Other Belgian-Style Ales,7.699999809265137,0.0,0.0
Grozet Gooseberry and Wheat Ale,Other Style,Light American Wheat Ale or Lager,5.0,0.0,0.0
Grumpy Two,North American Ale,American-Style Stout,0.0,0.0,0.0
Guava Grove Ale,Belgian and French Ale,French & Belgian-Style Saison,8.0,0.0,0.0
Gueuze,Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Gueuze 1882,Belgian and French Ale,Belgian-Style Fruit Lambic,5.0,0.0,0.0
Gueuze Bio / Organic Gueuze,Belgian and French Ale,Belgian-Style Fruit Lambic,0.0,0.0,0.0
Gueuze-Lambic,Belgian and French Ale,Belgian-Style Fruit Lambic,6.5,0.0,0.0
Guinea Pig Amber Ale,North American Ale,American-Style Amber/Red Ale,0.0,0.0,0.0
Guinness Draught,Irish Ale,Classic Irish-Style Dry Stout,4.300000190734863,0.0,0.0
Guinness Extra Stout,North American Ale,American-Style Stout,5.0,0.0,0.0
Guinness Foreign Extra,North American Ale,American-Style Stout,6.5,0.0,0.0
Gulden Fraug Belgian Ale,Belgian and French Ale,Belgian-Style Pale Strong Ale,10.5,0.0,0.0
Gunslinger Imperial Stout,North American Ale,American-Style Stout,0.0,0.0,0.0
Gust-N-Gale Porter,Irish Ale,Porter,0.0,0.0,0.0
HIPA,North American Ale,American-Style India Pale Ale,6.800000190734863,0.0,0.0
HUB Lager,German Lager,German-Style Pilsener,5.099999904632568,0.0,0.0
HURRICANE I.P.A.,North American Ale,American-Style India Pale Ale,0.0,0.0,0.0
Hacker-Pschorr Hubertus Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Hacker-Pschorr Original Oktoberfest,German Lager,German-Style Oktoberfest,0.0,0.0,0.0
Hacker-Pschorr Weisse,German Ale,South German-Style Hefeweizen,0.0,0.0,0.0
Hacker-Pschorr Weisse Bock,German Ale,South German-Style Weizenbock,0.0,0.0,0.0
Hahn Special Vintage 2000,British Ale,Old Ale,8.0,0.0,0.0
Half Again Bock,German Lager,Traditional German-Style Bock,0.0,0.0,0.0
Halligan IPA,North American Ale,American-Style India Pale Ale,5.099999904632568,0.0,0.0
